block	emission	endAmount
0	0.000001	0.000001
0	17.6	17.6
5000	17.5	87769.1
10000	17.4	175103.2
15000	17.3	262021.8
20000	17.3	348526.9
25000	17.2	434620.6
30000	17.1	520304.7
35000	17.0	605581.2
40000	16.9	690452.0
45000	16.9	774919.1
50000	16.8	858984.4
55000	16.7	942649.7
60000	16.6	1025917.1
65000	16.5	1108788.4
70000	16.5	1191265.5
75000	16.4	1273350.2
80000	16.3	1355044.4
85000	16.2	1436350.0
90000	16.1	1517268.8
95000	16.1	1597802.8
100000	16.0	1677953.6
105000	15.9	1757723.1
110000	15.8	1837113.1
115000	15.8	1916125.5
120000	15.7	1994762.1
125000	15.6	2073024.5
130000	15.5	2150914.7
135000	15.5	2228434.3
140000	15.4	2305585.2
145000	15.3	2382369.1
150000	15.2	2458787.7
155000	15.2	2534842.8
160000	15.1	2610536.1
165000	15.0	2685869.3
170000	15.0	2760844.1
175000	14.9	2835462.3
180000	14.8	2909725.5
185000	14.7	2983635.5
190000	14.7	3057193.9
195000	14.6	3130402.3
200000	14.5	3203262.5
205000	14.5	3275776.1
210000	14.4	3347944.7
215000	14.3	3419770.1
220000	14.3	3491253.7
225000	14.2	3562397.4
230000	14.1	3633202.5
235000	14.1	3703670.9
240000	14.0	3773804.0
245000	13.9	3843603.6
250000	13.9	3913071.0
255000	13.8	3982208.1
260000	13.7	4051016.2
265000	13.7	4119497.0
270000	13.6	4187652.0
275000	13.5	4255482.9
280000	13.5	4322991.0
285000	13.4	4390178.1
290000	13.3	4457045.5
295000	13.3	4523594.8
300000	13.2	4589827.5
305000	13.2	4655745.2
310000	13.1	4721349.3
315000	13.0	4786641.3
320000	13.0	4851622.8
325000	12.9	4916295.1
330000	12.8	4980659.7
335000	12.8	5044718.2
340000	12.7	5108472.0
345000	12.7	5171922.4
350000	12.6	5235071.1
355000	12.5	5297919.3
360000	12.5	5360468.6
365000	12.4	5422720.3
370000	12.4	5484675.9
375000	12.3	5546336.7
380000	12.2	5607704.3
385000	12.2	5668779.9
390000	12.1	5729564.9
395000	12.1	5790060.9
400000	12.0	5850269.0
405000	12.0	5910190.7
410000	11.9	5969827.4
415000	11.8	6029180.4
420000	11.8	6088251.0
425000	11.7	6147040.6
430000	11.7	6205550.6
435000	11.6	6263782.3
440000	11.6	6321736.9
445000	11.5	6379415.8
450000	11.5	6436820.4
455000	11.4	6493951.9
460000	11.3	6550811.6
465000	11.3	6607400.8
470000	11.2	6663720.8
475000	11.2	6719773.0
480000	11.1	6775558.4
485000	11.1	6831078.5
490000	11.0	6886334.5
495000	11.0	6941327.7
500000	10.9	6996059.2
505000	10.9	7050530.4
510000	10.8	7104742.4
515000	10.8	7158696.6
520000	10.7	7212394.1
525000	10.7	7265836.2
530000	10.6	7319024.0
535000	10.6	7371958.8
540000	10.5	7424641.8
545000	10.5	7477074.2
550000	10.4	7529257.2
555000	10.4	7581191.9
560000	10.3	7632879.6
565000	10.3	7684321.4
570000	10.2	7735518.5
575000	10.2	7786472.1
580000	10.1	7837183.2
585000	10.1	7887653.2
590000	10.0	7937883.0
595000	10.0	7987873.9
600000	9.9	8037627.0
605000	9.9	8087143.4
610000	9.8	8136424.3
615000	9.8	8185470.7
620000	9.7	8234283.8
625000	9.7	8282864.7
630000	9.6	8331214.5
635000	9.6	8379334.3
640000	9.6	8427225.2
645000	9.5	8474888.3
650000	9.5	8522324.7
655000	9.4	8569535.4
660000	9.4	8616521.5
665000	9.3	8663284.1
670000	9.3	8709824.2
675000	9.2	8756143.0
680000	9.2	8802241.4
685000	9.2	8848120.5
690000	9.1	8893781.4
695000	9.1	8939225.0
700000	9.0	8984452.5
705000	9.0	9029464.9
710000	8.9	9074263.1
715000	8.9	9118848.2
720000	8.9	9163221.2
725000	8.8	9207383.1
730000	8.8	9251335.0
735000	8.7	9295077.8
740000	8.7	9338612.5
745000	8.6	9381940.1
750000	8.6	9425061.5
755000	8.6	9467977.9
760000	8.5	9510690.1
765000	8.5	9553199.1
770000	8.4	9595505.9
775000	8.4	9637611.5
780000	8.4	9679516.7
785000	8.3	9721222.6
790000	8.3	9762730.1
795000	8.2	9804040.2
800000	8.2	9845153.7
805000	8.2	9886071.7
810000	8.1	9926795.0
815000	8.1	9967324.6
820000	8.0	10007661.4
825000	8.0	10047806.3
830000	8.0	10087760.2
835000	7.9	10127524.1
840000	7.9	10167098.8
845000	7.9	10206485.3
850000	7.8	10245684.4
855000	7.8	10284697.0
860000	7.7	10323524.1
865000	7.7	10362166.4
870000	7.7	10400625.0
875000	7.6	10438900.5
880000	7.6	10476994.0
885000	7.6	10514906.3
890000	7.5	10552638.3
895000	7.5	10590190.7
900000	7.5	10627564.5
905000	7.4	10664760.5
910000	7.4	10701779.6
915000	7.4	10738622.6
920000	7.3	10775290.3
925000	7.3	10811783.6
930000	7.2	10848103.3
935000	7.2	10884250.2
940000	7.2	10920225.1
945000	7.1	10956029.0
950000	7.1	10991662.5
955000	7.1	11027126.5
960000	7.0	11062421.7
965000	7.0	11097549.1
970000	7.0	11132509.4
975000	6.9	11167303.4
980000	6.9	11201931.9
985000	6.9	11236395.6
990000	6.8	11270695.4
995000	6.8	11304832.0
1000000	6.8	11338806.3
1005000	6.7	11372618.9
1010000	13.4	11407432.2
1015000	13.3	11474245.3
1020000	13.2	11540424.2
1025000	13.0	11605975.0
1030000	12.9	11670903.6
1035000	12.8	11735216.0
1040000	12.7	11798917.9
1045000	12.6	11862015.2
1050000	12.4	11924513.7
1055000	12.3	11986418.9
1060000	12.2	12047736.6
1065000	12.1	12108472.2
1070000	12.0	12168631.5
1075000	11.9	12228219.7
1080000	11.7	12287242.3
1085000	11.6	12345704.7
1090000	11.5	12403612.3
1095000	11.4	12460970.2
1100000	11.3	12517783.7
1105000	11.2	12574058.0
1110000	11.1	12629798.1
1115000	11.0	12685009.2
1120000	10.9	12739696.2
1125000	10.8	12793864.2
1130000	10.7	12847518.1
1135000	10.6	12900662.7
1140000	10.5	12953302.9
1145000	10.4	13005443.5
1150000	10.3	13057089.2
1155000	10.2	13108244.6
1160000	10.1	13158914.6
1165000	10.0	13209103.6
1170000	9.9	13258816.3
1175000	9.8	13308057.1
1180000	9.7	13356830.5
1185000	9.6	13405141.0
1190000	9.5	13452993.0
1195000	9.4	13500390.8
1200000	9.3	13547338.7
1205000	9.3	13593841.1
1210000	9.2	13639902.0
1215000	9.1	13685525.8
1220000	9.0	13730716.5
1225000	8.9	13775478.3
1230000	8.8	13819815.3
1235000	8.7	13863731.4
1240000	8.7	13907230.7
1245000	8.6	13950317.1
1250000	8.5	13992994.6
1255000	8.4	14035267.0
1260000	8.3	14077138.2
1265000	8.3	14118612.0
1270000	8.2	14159692.1
1275000	8.1	14200382.3
1280000	8.0	14240686.3
1285000	7.9	14280607.8
1290000	7.9	14320150.4
1295000	7.8	14359317.6
1300000	7.7	14398113.1
1305000	7.6	14436540.4
1310000	7.6	14474602.9
1315000	7.5	14512304.2
1320000	7.4	14549647.6
1325000	7.4	14586636.6
1330000	7.3	14623274.5
1335000	7.2	14659564.6
1340000	7.2	14695510.4
1345000	7.1	14731114.9
1350000	7.0	14766381.5
1355000	7.0	14801313.4
1360000	6.9	14835913.7
1365000	6.8	14870185.6
1370000	6.8	14904132.2
1375000	6.7	14937756.7
1380000	6.6	14971061.9
1385000	6.6	15004051.1
1390000	6.5	15036727.2
1395000	6.4	15069093.1
1400000	6.4	15101151.8
1405000	6.3	15132906.2
1410000	6.3	15164359.2
1415000	6.2	15195513.7
1420000	6.1	15226372.5
1425000	6.1	15256938.4
1430000	6.0	15287214.2
1435000	6.0	15317202.7
1440000	5.9	15346906.5
1445000	5.9	15376328.3
1450000	5.8	15405470.9
1455000	5.7	15434336.9
1460000	5.7	15462929.0
1465000	5.6	15491249.6
1470000	5.6	15519301.5
1475000	5.5	15547087.0
1480000	5.5	15574608.9
1485000	5.4	15601869.6
1490000	5.4	15628871.5
1495000	5.3	15655617.1
1500000	5.3	15682108.8
1505000	5.2	15708349.2
1510000	5.2	15734340.4
1515000	5.1	15760085.0
1520000	5.1	15785585.2
1525000	5.0	15810843.4
1530000	5.0	15835861.8
1535000	4.9	15860642.8
1540000	4.9	15885188.6
1545000	4.8	15909501.4
1550000	4.8	15933583.4
1555000	4.7	15957436.9
1560000	4.7	15981064.0
1565000	4.7	16004466.8
1570000	4.6	16027647.5
1575000	4.6	16050608.1
1580000	4.5	16073350.9
1585000	4.5	16095877.7
1590000	4.4	16118190.8
1595000	4.4	16140292.1
1600000	4.4	16162183.6
1605000	4.3	16183867.3
1610000	4.3	16205345.2
1615000	4.2	16226619.3
1620000	4.2	16247691.4
1625000	4.2	16268563.6
1630000	4.1	16289237.6
1635000	4.1	16309715.4
1640000	4.0	16329998.8
1645000	4.0	16350089.8
1650000	4.0	16369990.0
1655000	3.9	16389701.3
1660000	3.9	16409225.6
1665000	3.8	16428564.6
1670000	3.8	16447719.9
1675000	3.8	16466693.5
1680000	3.7	16485487.0
1685000	3.7	16504102.1
1690000	3.7	16522540.6
1695000	3.6	16540804.0
1700000	3.6	16558894.1
1705000	3.6	16576812.5
1710000	3.5	16594560.8
1715000	3.5	16612140.6
1720000	3.5	16629553.6
1725000	3.4	16646801.3
1730000	3.4	16663885.4
1735000	3.4	16680807.2
1740000	3.3	16697568.5
1745000	3.3	16714170.6
1750000	3.3	16730615.2
1755000	3.2	16746903.7
1760000	3.2	16763037.6
1765000	3.2	16779018.4
1770000	3.2	16794847.5
1775000	3.1	16810526.3
1780000	3.1	16826056.4
1785000	3.1	16841439.0
1790000	3.0	16856675.6
1795000	3.0	16871767.6
1800000	3.0	16886716.4
1805000	2.9	16901523.3
1810000	2.9	16916189.6
1815000	2.9	16930716.8
1820000	2.9	16945106.0
1825000	2.8	16959358.7
1830000	2.8	16973476.1
1835000	2.8	16987459.5
1840000	2.8	17001310.2
1845000	2.7	17015029.4
1850000	2.7	17028618.4
1855000	2.7	17042078.4
1860000	2.7	17055410.7
1865000	2.6	17068616.4
1870000	2.6	17081696.8
1875000	2.6	17094653.1
1880000	2.6	17107486.3
1885000	2.5	17120197.8
1890000	2.5	17132788.6
1895000	2.5	17145259.9
1900000	2.5	17157612.9
1905000	2.4	17169848.5
1910000	2.4	17181968.1
1915000	2.4	17193972.6
1920000	2.4	17205863.2
1925000	2.3	17217640.9
1930000	2.3	17229306.9
1935000	2.3	17240862.1
1940000	2.3	17252307.6
1945000	2.3	17263644.5
1950000	2.2	17274873.8
1955000	2.2	17285996.5
1960000	2.2	17297013.7
1965000	2.2	17307926.2
1970000	2.2	17318735.2
1975000	2.1	17329441.6
1980000	2.1	17340046.4
1985000	2.1	17350550.6
1990000	2.1	17360955.0
1995000	2.1	17371260.7
2000000	2.0	17381468.5
2005000	2.0	17391579.5
2010000	2.0	17401594.5
2015000	2.0	17411514.5
2020000	2.0	17421340.3
2025000	1.9	17431072.8
2030000	1.9	17440713.0
2035000	1.9	17450261.7
2040000	1.9	17459719.7
2045000	1.9	17469088.0
2050000	1.8	17478367.3
2055000	1.8	17487558.6
2060000	1.8	17496662.6
2065000	1.8	17505680.2
2070000	1.8	17514612.3
2075000	1.8	17523459.5
2080000	1.7	17532222.8
2085000	1.7	17540902.9
2090000	1.7	17549500.6
2095000	1.7	17558016.8
2100000	1.7	17566452.0
2105000	1.7	17574807.3
2110000	1.6	17583083.2
2115000	1.6	17591280.6
2120000	1.6	17599400.1
2125000	1.6	17607442.6
2130000	1.6	17615408.8
2135000	1.6	17623299.3
2140000	1.6	17631115.0
2145000	1.5	17638856.5
2150000	1.5	17646524.5
2155000	1.5	17654119.7
2160000	1.5	17661642.8
2165000	1.5	17669094.6
2170000	1.5	17676475.6
2175000	1.5	17683786.5
2180000	1.4	17691028.1
2185000	1.4	17698200.9
2190000	1.4	17705305.6
2195000	1.4	17712342.9
2200000	1.4	17719313.4
2205000	1.4	17726217.8
2210000	1.4	17733056.6
2215000	1.3	17739830.5
2220000	1.3	17746540.1
2225000	1.3	17753186.1
2230000	1.3	17759768.9
2235000	1.3	17766289.3
2240000	1.3	17772747.8
2245000	1.3	17779144.9
2250000	1.3	17785481.4
2255000	1.2	17791757.7
2260000	1.2	17797974.5
2265000	1.2	17804132.2
2270000	1.2	17810231.5
2275000	1.2	17816272.9
2280000	1.2	17822257.0
2285000	1.2	17828184.3
2290000	1.2	17834055.3
2295000	1.2	17839870.6
2300000	1.1	17845630.7
2305000	1.1	17851336.1
2310000	1.1	17856987.4
2315000	1.1	17862585.0
2320000	1.1	17868129.5
2325000	1.1	17873621.4
2330000	1.1	17879061.1
2335000	1.1	17884449.2
2340000	1.1	17889786.2
2345000	1.1	17895072.5
2350000	1.0	17900308.7
2355000	1.0	17905495.1
2360000	1.0	17910632.3
2365000	1.0	17915720.8
2370000	1.0	17920761.0
2375000	1.0	17925753.3
2380000	1.0	17930698.2
2385000	1.0	17935596.3
2390000	1.0	17940447.8
2395000	1.0	17945253.2
2400000	0.9	17950013.1
2405000	0.9	17954727.8
2410000	0.9	17959397.7
2415000	0.9	17964023.3
2420000	0.9	17968605.0
2425000	0.9	17973143.3
2430000	0.9	17977638.4
2435000	0.9	17982090.9
2440000	0.9	17986501.1
2445000	0.9	17990869.5
2450000	0.9	17995196.4
2455000	0.9	17999482.2
2460000	0.8	18003727.3
2465000	0.8	18007932.2
2470000	0.8	18012097.1
2475000	0.8	18016222.6
2480000	0.8	18020308.8
2485000	0.8	18024356.3
2490000	0.8	18028365.4
2495000	0.8	18032336.4
2500000	0.8	18036269.7
2505000	0.8	18040165.7
2510000	0.8	18044024.7
2515000	0.8	18047847.1
2520000	0.8	18051633.2
2525000	0.7	18055383.3
2530000	0.7	18059097.9
2535000	0.7	18062777.2
2540000	0.7	18066421.6
2545000	0.7	18070031.4
2550000	0.7	18073606.9
2555000	0.7	18077148.5
2560000	0.7	18080656.5
2565000	0.7	18084131.2
2570000	0.7	18087572.9
2575000	0.7	18090982.0
2580000	0.7	18094358.7
2585000	0.7	18097703.3
2590000	0.7	18101016.2
2595000	0.7	18104297.6
2600000	0.6	18107547.9
2605000	0.6	18110767.4
2610000	0.6	18113956.3
2615000	0.6	18117114.9
2620000	0.6	18120243.6
2625000	0.6	18123342.5
2630000	0.6	18126412.1
2635000	0.6	18129452.5
2640000	0.6	18132464.2
2645000	0.6	18135464.2
2650000	0.6	18138464.2
2655000	0.6	18141464.2
2660000	0.6	18144464.2
2665000	0.6	18147464.2
2670000	0.6	18150464.2
2675000	0.6	18153464.2
2680000	0.6	18156464.2
2685000	0.6	18159464.2
2690000	0.6	18162464.2
2695000	0.6	18165464.2
2700000	0.6	18168464.2
2705000	0.6	18171464.2
2710000	0.6	18174464.2
2715000	0.6	18177464.2
2720000	0.6	18180464.2
2725000	0.6	18183464.2
2730000	0.6	18186464.2
2735000	0.6	18189464.2
2740000	0.6	18192464.2
2745000	0.6	18195464.2
2750000	0.6	18198464.2
2755000	0.6	18201464.2
2760000	0.6	18204464.2
2765000	0.6	18207464.2
2770000	0.6	18210464.2
2775000	0.6	18213464.2
2780000	0.6	18216464.2
2785000	0.6	18219464.2
2790000	0.6	18222464.2
2795000	0.6	18225464.2
2800000	0.6	18228464.2
2805000	0.6	18231464.2
2810000	0.6	18234464.2
2815000	0.6	18237464.2
2820000	0.6	18240464.2
2825000	0.6	18243464.2
2830000	0.6	18246464.2
2835000	0.6	18249464.2
2840000	0.6	18252464.2
2845000	0.6	18255464.2
2850000	0.6	18258464.2
2855000	0.6	18261464.2
2860000	0.6	18264464.2
2865000	0.6	18267464.2
2870000	0.6	18270464.2
2875000	0.6	18273464.2
2880000	0.6	18276464.2
2885000	0.6	18279464.2
2890000	0.6	18282464.2
2895000	0.6	18285464.2
2900000	0.6	18288464.2
2905000	0.6	18291464.2
2910000	0.6	18294464.2
2915000	0.6	18297464.2
2920000	0.6	18300464.2
2925000	0.6	18303464.2
2930000	0.6	18306464.2
2935000	0.6	18309464.2
2940000	0.6	18312464.2
2945000	0.6	18315464.2
2950000	0.6	18318464.2
2955000	0.6	18321464.2
2960000	0.6	18324464.2
2965000	0.6	18327464.2
2970000	0.6	18330464.2
2975000	0.6	18333464.2
2980000	0.6	18336464.2
2985000	0.6	18339464.2
2990000	0.6	18342464.2
2995000	0.6	18345464.2
3000000	0.6	18348464.2
3005000	0.6	18351464.2
3010000	0.6	18354464.2
3015000	0.6	18357464.2
3020000	0.6	18360464.2
3025000	0.6	18363464.2
3030000	0.6	18366464.2
3035000	0.6	18369464.2
3040000	0.6	18372464.2
3045000	0.6	18375464.2
3050000	0.6	18378464.2
3055000	0.6	18381464.2
3060000	0.6	18384464.2
3065000	0.6	18387464.2
3070000	0.6	18390464.2
3075000	0.6	18393464.2
3080000	0.6	18396464.2
3085000	0.6	18399464.2
3090000	0.6	18402464.2
3095000	0.6	18405464.2
3100000	0.6	18408464.2
3105000	0.6	18411464.2
3110000	0.6	18414464.2
3115000	0.6	18417464.2
3120000	0.6	18420464.2
3125000	0.6	18423464.2
3130000	0.6	18426464.2
3135000	0.6	18429464.2
3140000	0.6	18432464.2
3145000	0.6	18435464.2
3150000	0.6	18438464.2
3155000	0.6	18441464.2
3160000	0.6	18444464.2
3165000	0.6	18447464.2
3170000	0.6	18450464.2
3175000	0.6	18453464.2
3180000	0.6	18456464.2
3185000	0.6	18459464.2
3190000	0.6	18462464.2
3195000	0.6	18465464.2
3200000	0.6	18468464.2
3205000	0.6	18471464.2
3210000	0.6	18474464.2
3215000	0.6	18477464.2
3220000	0.6	18480464.2
3225000	0.6	18483464.2
3230000	0.6	18486464.2
3235000	0.6	18489464.2
3240000	0.6	18492464.2
3245000	0.6	18495464.2
3250000	0.6	18498464.2
3255000	0.6	18501464.2
3260000	0.6	18504464.2
3265000	0.6	18507464.2
3270000	0.6	18510464.2
3275000	0.6	18513464.2
3280000	0.6	18516464.2
3285000	0.6	18519464.2
3290000	0.6	18522464.2
3295000	0.6	18525464.2
3300000	0.6	18528464.2
3305000	0.6	18531464.2
3310000	0.6	18534464.2
3315000	0.6	18537464.2
3320000	0.6	18540464.2
3325000	0.6	18543464.2
3330000	0.6	18546464.2
3335000	0.6	18549464.2
3340000	0.6	18552464.2
3345000	0.6	18555464.2
3350000	0.6	18558464.2
3355000	0.6	18561464.2
3360000	0.6	18564464.2
3365000	0.6	18567464.2
3370000	0.6	18570464.2
3375000	0.6	18573464.2
3380000	0.6	18576464.2
3385000	0.6	18579464.2
3390000	0.6	18582464.2
3395000	0.6	18585464.2
3400000	0.6	18588464.2
3405000	0.6	18591464.2
3410000	0.6	18594464.2
3415000	0.6	18597464.2
3420000	0.6	18600464.2
3425000	0.6	18603464.2
3430000	0.6	18606464.2
3435000	0.6	18609464.2
3440000	0.6	18612464.2
3445000	0.6	18615464.2
3450000	0.6	18618464.2
3455000	0.6	18621464.2
3460000	0.6	18624464.2
3465000	0.6	18627464.2
3470000	0.6	18630464.2
3475000	0.6	18633464.2
3480000	0.6	18636464.2
3485000	0.6	18639464.2
3490000	0.6	18642464.2
3495000	0.6	18645464.2
3500000	0.6	18648464.2
3505000	0.6	18651464.2
3510000	0.6	18654464.2
3515000	0.6	18657464.2
3520000	0.6	18660464.2
3525000	0.6	18663464.2
3530000	0.6	18666464.2
3535000	0.6	18669464.2
3540000	0.6	18672464.2
3545000	0.6	18675464.2
3550000	0.6	18678464.2
3555000	0.6	18681464.2
3560000	0.6	18684464.2
3565000	0.6	18687464.2
3570000	0.6	18690464.2
3575000	0.6	18693464.2
3580000	0.6	18696464.2
3585000	0.6	18699464.2
3590000	0.6	18702464.2
3595000	0.6	18705464.2
3600000	0.6	18708464.2
3605000	0.6	18711464.2
3610000	0.6	18714464.2
3615000	0.6	18717464.2
3620000	0.6	18720464.2
3625000	0.6	18723464.2
3630000	0.6	18726464.2
3635000	0.6	18729464.2
3640000	0.6	18732464.2
3645000	0.6	18735464.2
3650000	0.6	18738464.2
3655000	0.6	18741464.2
3660000	0.6	18744464.2
3665000	0.6	18747464.2
3670000	0.6	18750464.2
3675000	0.6	18753464.2
3680000	0.6	18756464.2
3685000	0.6	18759464.2
3690000	0.6	18762464.2
3695000	0.6	18765464.2
3700000	0.6	18768464.2
3705000	0.6	18771464.2
3710000	0.6	18774464.2
3715000	0.6	18777464.2
3720000	0.6	18780464.2
3725000	0.6	18783464.2
3730000	0.6	18786464.2
3735000	0.6	18789464.2
3740000	0.6	18792464.2
3745000	0.6	18795464.2
3750000	0.6	18798464.2
3755000	0.6	18801464.2
3760000	0.6	18804464.2
3765000	0.6	18807464.2
3770000	0.6	18810464.2
3775000	0.6	18813464.2
3780000	0.6	18816464.2
3785000	0.6	18819464.2
3790000	0.6	18822464.2
3795000	0.6	18825464.2
3800000	0.6	18828464.2
3805000	0.6	18831464.2
3810000	0.6	18834464.2
3815000	0.6	18837464.2
3820000	0.6	18840464.2
3825000	0.6	18843464.2
3830000	0.6	18846464.2
3835000	0.6	18849464.2
3840000	0.6	18852464.2
3845000	0.6	18855464.2
3850000	0.6	18858464.2
3855000	0.6	18861464.2
3860000	0.6	18864464.2
3865000	0.6	18867464.2
3870000	0.6	18870464.2
3875000	0.6	18873464.2
3880000	0.6	18876464.2
3885000	0.6	18879464.2
3890000	0.6	18882464.2
3895000	0.6	18885464.2
3900000	0.6	18888464.2
3905000	0.6	18891464.2
3910000	0.6	18894464.2
3915000	0.6	18897464.2
3920000	0.6	18900464.2
3925000	0.6	18903464.2
3930000	0.6	18906464.2
3935000	0.6	18909464.2
3940000	0.6	18912464.2
3945000	0.6	18915464.2
3950000	0.6	18918464.2
3955000	0.6	18921464.2
3960000	0.6	18924464.2
3965000	0.6	18927464.2
3970000	0.6	18930464.2
3975000	0.6	18933464.2
3980000	0.6	18936464.2
3985000	0.6	18939464.2
3990000	0.6	18942464.2
3995000	0.6	18945464.2
4000000	0.6	18948464.2
4005000	0.6	18951464.2
4010000	0.6	18954464.2
4015000	0.6	18957464.2
4020000	0.6	18960464.2
4025000	0.6	18963464.2
4030000	0.6	18966464.2
4035000	0.6	18969464.2
4040000	0.6	18972464.2
4045000	0.6	18975464.2
4050000	0.6	18978464.2
4055000	0.6	18981464.2
4060000	0.6	18984464.2
4065000	0.6	18987464.2
4070000	0.6	18990464.2
4075000	0.6	18993464.2
4080000	0.6	18996464.2
4085000	0.6	18999464.2
4090000	0.6	19002464.2
4095000	0.6	19005464.2
4100000	0.6	19008464.2
4105000	0.6	19011464.2
4110000	0.6	19014464.2
4115000	0.6	19017464.2
4120000	0.6	19020464.2
4125000	0.6	19023464.2
4130000	0.6	19026464.2
4135000	0.6	19029464.2
4140000	0.6	19032464.2
4145000	0.6	19035464.2
4150000	0.6	19038464.2
4155000	0.6	19041464.2
4160000	0.6	19044464.2
4165000	0.6	19047464.2
4170000	0.6	19050464.2
4175000	0.6	19053464.2
4180000	0.6	19056464.2
4185000	0.6	19059464.2
4190000	0.6	19062464.2
4195000	0.6	19065464.2
4200000	0.6	19068464.2
4205000	0.6	19071464.2
4210000	0.6	19074464.2
4215000	0.6	19077464.2
4220000	0.6	19080464.2
4225000	0.6	19083464.2
4230000	0.6	19086464.2
4235000	0.6	19089464.2
4240000	0.6	19092464.2
4245000	0.6	19095464.2
4250000	0.6	19098464.2
4255000	0.6	19101464.2
4260000	0.6	19104464.2
4265000	0.6	19107464.2
4270000	0.6	19110464.2
4275000	0.6	19113464.2
4280000	0.6	19116464.2
4285000	0.6	19119464.2
4290000	0.6	19122464.2
4295000	0.6	19125464.2
4300000	0.6	19128464.2
4305000	0.6	19131464.2
4310000	0.6	19134464.2
4315000	0.6	19137464.2
4320000	0.6	19140464.2
4325000	0.6	19143464.2
4330000	0.6	19146464.2
4335000	0.6	19149464.2
4340000	0.6	19152464.2
4345000	0.6	19155464.2
4350000	0.6	19158464.2
4355000	0.6	19161464.2
4360000	0.6	19164464.2
4365000	0.6	19167464.2
4370000	0.6	19170464.2
4375000	0.6	19173464.2
4380000	0.6	19176464.2
4385000	0.6	19179464.2
4390000	0.6	19182464.2
4395000	0.6	19185464.2
4400000	0.6	19188464.2
4405000	0.6	19191464.2
4410000	0.6	19194464.2
4415000	0.6	19197464.2
4420000	0.6	19200464.2
4425000	0.6	19203464.2
4430000	0.6	19206464.2
4435000	0.6	19209464.2
4440000	0.6	19212464.2
4445000	0.6	19215464.2
4450000	0.6	19218464.2
4455000	0.6	19221464.2
4460000	0.6	19224464.2
4465000	0.6	19227464.2
4470000	0.6	19230464.2
4475000	0.6	19233464.2
4480000	0.6	19236464.2
4485000	0.6	19239464.2
4490000	0.6	19242464.2
4495000	0.6	19245464.2
4500000	0.6	19248464.2
4505000	0.6	19251464.2
4510000	0.6	19254464.2
4515000	0.6	19257464.2
4520000	0.6	19260464.2
4525000	0.6	19263464.2
4530000	0.6	19266464.2
4535000	0.6	19269464.2
4540000	0.6	19272464.2
4545000	0.6	19275464.2
4550000	0.6	19278464.2
4555000	0.6	19281464.2
4560000	0.6	19284464.2
4565000	0.6	19287464.2
4570000	0.6	19290464.2
4575000	0.6	19293464.2
4580000	0.6	19296464.2
4585000	0.6	19299464.2
4590000	0.6	19302464.2
4595000	0.6	19305464.2
4600000	0.6	19308464.2
4605000	0.6	19311464.2
4610000	0.6	19314464.2
4615000	0.6	19317464.2
4620000	0.6	19320464.2
4625000	0.6	19323464.2
4630000	0.6	19326464.2
4635000	0.6	19329464.2
4640000	0.6	19332464.2
4645000	0.6	19335464.2
4650000	0.6	19338464.2
4655000	0.6	19341464.2
4660000	0.6	19344464.2
4665000	0.6	19347464.2
4670000	0.6	19350464.2
4675000	0.6	19353464.2
4680000	0.6	19356464.2
4685000	0.6	19359464.2
4690000	0.6	19362464.2
4695000	0.6	19365464.2
4700000	0.6	19368464.2
4705000	0.6	19371464.2
4710000	0.6	19374464.2
4715000	0.6	19377464.2
4720000	0.6	19380464.2
4725000	0.6	19383464.2
4730000	0.6	19386464.2
4735000	0.6	19389464.2
4740000	0.6	19392464.2
4745000	0.6	19395464.2
4750000	0.6	19398464.2
4755000	0.6	19401464.2
4760000	0.6	19404464.2
4765000	0.6	19407464.2
4770000	0.6	19410464.2
4775000	0.6	19413464.2
4780000	0.6	19416464.2
4785000	0.6	19419464.2
4790000	0.6	19422464.2
4795000	0.6	19425464.2
4800000	0.6	19428464.2
4805000	0.6	19431464.2
4810000	0.6	19434464.2
4815000	0.6	19437464.2
4820000	0.6	19440464.2
4825000	0.6	19443464.2
4830000	0.6	19446464.2
4835000	0.6	19449464.2
4840000	0.6	19452464.2
4845000	0.6	19455464.2
4850000	0.6	19458464.2
4855000	0.6	19461464.2
4860000	0.6	19464464.2
4865000	0.6	19467464.2
4870000	0.6	19470464.2
4875000	0.6	19473464.2
4880000	0.6	19476464.2
4885000	0.6	19479464.2
4890000	0.6	19482464.2
4895000	0.6	19485464.2
4900000	0.6	19488464.2
4905000	0.6	19491464.2
4910000	0.6	19494464.2
4915000	0.6	19497464.2
4920000	0.6	19500464.2
4925000	0.6	19503464.2
4930000	0.6	19506464.2
4935000	0.6	19509464.2
4940000	0.6	19512464.2
4945000	0.6	19515464.2
4950000	0.6	19518464.2
4955000	0.6	19521464.2
4960000	0.6	19524464.2
4965000	0.6	19527464.2
4970000	0.6	19530464.2
4975000	0.6	19533464.2
4980000	0.6	19536464.2
4985000	0.6	19539464.2
4990000	0.6	19542464.2
4995000	0.6	19545464.2
5000000	0.6	19548464.2
5000001	0.00006	0.000001
